Expression	Prom	Kozak	Term
3.785043847	5	4	7
3.024011415	6	4	7
3.044662911	7	4	7
3.066844163	8	4	7
2.957566886	1	5	7
3.350209885	2	5	7
2.878470419	3	5	7
2.846471483	4	5	7
2.994072308	5	5	7
2.861360592	6	5	7
2.871007556	7	5	7
3.031690645	8	5	7
3.401383019	1	6	7
4.109520878	2	6	7
2.898497699	3	6	7
3.019409755	4	6	7
3.763712422	5	6	7
3.002603722	6	6	7
3.063254042	7	6	7
3.07511994	8	6	7
3.307510455	1	1	8
3.945394076	2	1	8
2.904741047	3	1	8
2.942027538	4	1	8
3.42990812	5	1	8
2.963626451	6	1	8
2.964284964	7	1	8
3.060405513	8	1	8
3.102751056	1	2	8
3.581999685	2	2	8
2.869923498	3	2	8
2.912877328	4	2	8
3.214963025	5	2	8
2.866746858	6	2	8
2.895052441	7	2	8
2.971430268	8	2	8
3.626655598	1	3	8
4.173670925	2	3	8
2.973541341	3	3	8
3.006368413	4	3	8
3.78235073	5	3	8
2.90596503	6	3	8
2.958022598	7	3	8
3.063043316	8	3	8
3.505958942	1	4	8
4.186611429	2	4	8
2.9226173	3	4	8
3.011625207	4	4	8
3.774987633	5	4	8
2.933864346	6	4	8
3.051632895	7	4	8
2.990629627	8	4	8
3.013011616	1	5	8
3.312274219	2	5	8
2.852494153	3	5	8
2.934512128	4	5	8
3.025495331	5	5	8
2.855413315	6	5	8
2.950928499	7	5	8
2.811298117	8	5	8
3.365685599	1	6	8
4.013644329	2	6	8
2.93452025	3	6	8
3.029971438	4	6	8
3.733443813	5	6	8
2.918325218	6	6	8
3.03984933	7	6	8
2.938939614	8	6	8
